Item,Item Type,Subtype,Rarity,Act,Overworld,Area,Location,Story Requirements,Tags
Loviatar's Scourge,Melee,Simple,Uncommon,1,Wilderness,Goblin Camp,Shattered Sanctum,Trade or loot Abdirak,"Damage Reduction, Necrotic, Multi-Hit, Damage Rider Source, Mace"
Ritual Axe,Melee,Simple,Uncommon,1,Wilderness,Goblin Camp,Shattered Sanctum,Find the item (X: 37 Y: 644),"Attack Roll Penalty, Save Penalty, Handaxe"
Ritual Dagger,Melee,Simple,Uncommon,1,Wilderness,Goblin Camp,Shattered Sanctum,Find the item (table next to Abdirak),"Attack Roll Bonus, Save Bonus, Masochism, Damage Rider Source, Dagger"
Gold Wyrmling Staff,Melee,Simple,Rare,1,Wilderness,Goblin Camp,Shattered Sanctum,Trade Roah Moonglow (Zhentarim),"Fire, Evocation, Quarterstaff"
Absolute's Talisman,Neck,,Uncommon,1,Wilderness,Goblin Camp,Shattered Sanctum,Loot Priestess Gut,"Save Bonus, Temporary Hit Points, Abjuration, Absolute's Brand"
Amulet of Selûne's Chosen,Neck,,Uncommon,1,Wilderness,Goblin Camp,Shattered Sanctum,Loot Dror Ragzlin,"Healing, Incapacitated"
Loviatar's Love,Other,,,1,Wilderness,Goblin Camp,Shattered Sanctum,Submit to Abdirak and put on a good performance,"Attack Roll Bonus, Save Bonus"
Bow of Awareness,Ranged,Simple,Uncommon,1,Wilderness,Goblin Camp,Shattered Sanctum,Trade Roah Moonglow (Zhentarim),"Generally Good, Initiative, Longbow"
Ring of Poison Resistance,Ring,,Rare,1,Wilderness,Goblin Camp,Shattered Sanctum,Find the item (X: 338 Y:14),"Generally Good, Damage Reduction, Poison"
Absolute's Warboard,Shield,,Uncommon,1,Wilderness,Goblin Camp,Shattered Sanctum,Loot Priestess Gut,"Save Bonus, Condition Immunity, Temporary Hit Points, Enchantment, Absolute's Brand"
Spidersilk Armour,Torso,Light,Rare,1,Wilderness,Goblin Camp,Shattered Sanctum,Recruit or loot Minthara,Stealth
Worgfang,Melee,Simple,Uncommon,1,Wilderness,Goblin Camp,Worg Pens,Find the item (X: 386 Y: -17),Attack Roll Penalty
Beastmaster's Chain,Neck,,Uncommon,1,Wilderness,Goblin Camp,Worg Pens,Find the item (X: 378 Y: -44),Enchantment
The Watcher's Guide,Melee,Martial,Uncommon,1,Wilderness,Overgrown Ruins,-,Loot the trapped sarcophagus,"Attack Roll Bonus, Spear"
The Amulet of Lost Voices,Neck,,Rare,1,Wilderness,Overgrown Ruins,-,Find the item (Withers' Room),Necromancy
The Sparkle Hands,Gloves,Clothing,Rare,1,Wilderness,Sunlit Wetlands,-,Find the item (X: 95 Y: 210),"Attack Roll Bonus, Unarmed Attacks, Lightning Charges, Lightning"
Gandrel's Aspiration,Ranged,Martial,Uncommon,1,Wilderness,Sunlit Wetlands,-,Loot Gandrel,"Generally Good, Attack Roll Bonus, Critical Hits, Turned, Heavy Crossbow"
Wood Woad Shield,Shield,,Uncommon,1,Wilderness,Sunlit Wetlands,-,Loot Wood Woads,Restrained
The Ever-Seeing Eye,Neck,,Uncommon,1,Wilderness,Sunlit Wetlands,Overgrown Tunnel,Find the item (X: -72 Y: 210),"Attack Roll Penalty, Abjuration"
Staff of Crones,Melee,Simple,Uncommon,1,Wilderness,Sunlit Wetlands,Riverside Teahouse,Access the Ancient Abode,"Poison, Poisoned, Necromancy, Quarterstaff"
Auntie Ethel's Hair,Other,,,1,Wilderness,Sunlit Wetlands,Riverside Teahouse,Defeat Auntie Ethel and spare her life,"Generally Good, STR Increase, DEX Increase, CON Increase, INT Increase, WIS Increase, CHA Increase, STR Check Bonus, DEX Check Bonus, INT Check Bonus, WIS Check Bonus, CHA Check Bonus, Acrobatics, Animal Handling, Arcana, Athletics, Deception, History, Insight, Intimidation, Investigation, Medicine, Nature, Perception, Performance, Persuasion, Religion, Sleight of Hand, Stealth, Survival"
Paid the Price,Other,,,1,Wilderness,Sunlit Wetlands,Riverside Teahouse,Let Auntie Ethel remove the parasite,Intimidation
Reason's Grasp,Gloves,Clothing,Uncommon,1,Wilderness,The Risen Road,-,Find the item,"Temporary Hit Points, Barbarian"
Speedy Reply,Melee,Martial,Uncommon,1,Wilderness,The Risen Road,-,Find the item (X: 25 Y: 603),"Movement Speed, Scimitar"
Sword of Justice,Melee,Martial,Uncommon,1,Wilderness,The Risen Road,-,Kill Karlach or loot Anders,"Armor Class Bonus, Abjuration, Greatsword"
Shattered Flail,Melee,Simple,Rare,1,Wilderness,The Risen Road,-,Loot the Flind,"Regeneration, Uncontrolled, Flail"
Smuggler's Ring,Ring,,Uncommon,1,Wilderness,The Risen Road,-,"Find the item (X: 58, Y: 512)","Generally Good, Sleight of Hand, Stealth"
Gloves of Heroism,Gloves,Clothing,Uncommon,1,Wilderness,The Risen Road,Risen Road Toll House,Find the item (X: -674 Y: -401),"Save Bonus, Temporary Hit Points, Paladin"
Hamarhraft,Melee,Martial,Uncommon,1,Wilderness,Waukeen's Rest,-,Find the item (X: -85 Y: 631),"Jump, Thunder, Maul"
Svartlebee's Woundseeker,Melee,Martial,Uncommon,1,Wilderness,Waukeen's Rest,-,Loot Gauntlet Yeva,"Attack Roll Bonus, Greatsword"
The Sparky Points,Melee,Martial,Rare,1,Wilderness,Waukeen's Rest,-,Rescue Counsellor Florrick,"Lightning Charges, Lightning, Trident"
The Spellsparkler,Melee,Simple,Rare,1,Wilderness,Waukeen's Rest,-,Rescue Counsellor Florrick,"Lightning Charges, Lightning, Quarterstaff"
The Joltshooter,Ranged,Martial,Rare,1,Wilderness,Waukeen's Rest,-,Rescue Counsellor Florrick,"Lightning Charges, Lightning, Longbow"
Gloves of Thievery,Gloves,Clothing,Uncommon,1,Wilderness,Waukeen's Rest,Zhentarim Basement,Help the Zhentarim and trade Brem,Sleight of Hand
Abyss Beckoners,Gloves,Clothing,Very Rare,1,Wilderness,Waukeen's Rest,Zhentarim Basement,Find the item (X: 306 Y: -170),"Damage Reduction, Uncontrolled, Summon"
Rupturing Blade,Melee,Martial,Uncommon,1,Wilderness,Waukeen's Rest,Zhentarim Basement,Help the Zhentarim and trade Brem,"Fire, Bleeding, Burning, Masochism, Rapier"
Giantbreaker,Ranged,Martial,Rare,1,Wilderness,Waukeen's Rest,Zhentarim Basement,Help the Zhentarim and trade Brem,"Attack Roll Penalty, Heavy Crossbow"
Harold,Ranged,Martial,Rare,1,Wilderness,Waukeen's Rest,Zhentarim Basement,Bring the Missing Shipment to Zarys,"Attack Roll Penalty, Heavy Crossbow"
The Jolty Vest,Torso,Medium,Rare,1,Wilderness,Waukeen's Rest,Zhentarim Basement,Help the Zhentarim and trade Brem,"Save Penalty, Lightning Charges, Retaliation"
Very Heavy Greataxe,Melee,Martial,Uncommon,1 or 2,Multiple Locations,-,-,Loot Fezzerk,"Multi-Hit, Damage Rider Source, Greataxe"
Titanstring Bow,Ranged,Martial,Rare,1 or 2,Multiple Locations,-,-,Trade Brem or Lann Tarv,"Damage Bonus, Longbow"
Voss' Silver Sword,Melee,Martial,Very Rare,"1, 2, or 3",Multiple Locations,-,-,Loot Kith'rak Voss (Acts 1 or 2) or trade Kith'rak Voss (Act 3),"Attack Roll Bonus, Damage Bonus, Psychic, Frightened, Evocation, Longsword"
Shapeshifter's Boon Ring,Ring,,Uncommon,"1, 2, or 3",Multiple Locations,-,-,Loot the Strange Ox or Help the Devilish Ox,"Polymorphed, Acrobatics, Animal Handling, Arcana, Athletics, Deception, History, Insight, Intimidation, Investigation, Medicine, Nature, Perception, Performance, Persuasion, Religion, Sleight of Hand, Stealth, Survival"
Slayer Form,Other,,,2,Camp,-,-,Use the Dark Urge Origin and follow The Urge,Polymorphed
Keepsake Ring,Ring,,Rare,2,Lower City,Elfsong Tavern,-,Find the item (X: -859 Y: 531),Uncontrolled
Jhannyl's Gloves,Gloves,Clothing,Rare,2,Multiple Locations,-,-,Loot Isobel,Condition Immunity
Boots of Apparent Death,Boots,Clothing,Rare,2,Shadow-Cursed Lands,-,-,Find the item (X: -165 Y: 45),Necromancy
Cruel Sting,Melee,Martial,Rare,2,Shadow-Cursed Lands,-,-,Loot Kar'niss,"Poison, Restrained, Drow, Conjuration, Longsword"
Hammergrim Mist Amulet,Neck,,Uncommon,2,Shadow-Cursed Lands,-,-,Find the item (X: -12 Y: -7),"Obscured, Conjuration"
Level 3 Shadow Spell Slot,Other,,,2,Shadow-Cursed Lands,-,-,Use the Gale Origin and consume one of the Thorms,Spell Slot
Ring of Shadows,Ring,,Uncommon,2,Shadow-Cursed Lands,-,-,Loot Oliver or win Hide-and-Seek,"Stealth, Abjuration"
True Love's Caress,Ring,,Rare,2,Shadow-Cursed Lands,-,-,Find the item (X: -147 Y: 43),Damage Reduction
Icebite Robe,Torso,Clothing,Rare,2,Shadow-Cursed Lands,-,-,Find the item (X: -158 Y: 73),"Damage Reduction, Temporary Hit Points, Cold, Abjuration, Retaliation"
Vivacious Cloak,Cloak,Clothing,Uncommon,2,Shadow-Cursed Lands,Grand Mausoleum,-,Find the item (X: -257 Y: -886),Temporary Hit Points
Lightning Jabber,Melee,Martial,Uncommon,2,Shadow-Cursed Lands,Grand Mausoleum,-,Loot Cursed Kuo-Toa Chief,"Thrown Weapons, Save Penalty, Lightning, Damage Rider Source, Spear"
Boots of Brilliance,Boots,Clothing,Rare,2,Shadow-Cursed Lands,Grand Mausoleum,Gauntlet of Shar,Find the item (X: -632 Y: -723),Bard
Dark Justiciar Gauntlets (Uncommon),Gloves,Clothing,Uncommon,2,Shadow-Cursed Lands,Grand Mausoleum,Gauntlet of Shar,Find the item (X: -660 Y: -760),"Damage Bonus, Save Bonus, Necrotic"
Circle of Bones,Head,Clothing,Rare,2,Shadow-Cursed Lands,Grand Mausoleum,Gauntlet of Shar,Loot Balthazar,"Damage Reduction, Necromancy, Summon"
Dark Justiciar Helmet,Head,Medium,Very Rare,2,Shadow-Cursed Lands,Grand Mausoleum,Gauntlet of Shar,Find the item (X: -822 Y: -753),"Critical Hits, Save Bonus, Obscured"
Justiciar's Scimitar,Melee,Martial,Very Rare,2,Shadow-Cursed Lands,Grand Mausoleum,Gauntlet of Shar,Follow the rats,"Attack Roll Bonus, Damage Bonus, Psychic, Blinded, Damage Rider Source, Scimitar"
Hellfire Hand Crossbow,Ranged,Martial,Very Rare,2,Shadow-Cursed Lands,Grand Mausoleum,Gauntlet of Shar,Loot Yurgir,"Hidden, Fire, Burning, Evocation, Hand Crossbow"
Least Expected,Ranged,Simple,Rare,2,Shadow-Cursed Lands,Grand Mausoleum,Gauntlet of Shar,Find the item (X: -730 Y: -800),"Attack Roll Bonus, Obscured, Blinded, Shortbow"
Callous Glow Ring,Ring,,Uncommon,2,Shadow-Cursed Lands,Grand Mausoleum,Gauntlet of Shar,Find the item (X: -821 Y: -752),"Generally Good, Damage Bonus, Radiant"
Killer's Sweetheart,Ring,,Very Rare,2,Shadow-Cursed Lands,Grand Mausoleum,Gauntlet of Shar,Complete the Self-Same Trial,"Attack Roll Bonus, Critical Hits"
Justiciar's Greatshield,Shield,,Rare,2,Shadow-Cursed Lands,Grand Mausoleum,Gauntlet of Shar,Follow the rats,"Hidden, Obscured, Prone, Perception, Retaliation"
Dark Justiciar Half-Plate,Torso,Medium,Rare,2,Shadow-Cursed Lands,Grand Mausoleum,Gauntlet of Shar,Solve the Riddle of the Night,"Armor Class Bonus, Obscured, Stealth, Abjuration"
Acrobat Shoes,Boots,Clothing,Rare,2,Shadow-Cursed Lands,Last Light Inn,-,Trade Barcus Wroot,"Save Bonus, Acrobatics"
Evasive Shoes,Boots,Clothing,Rare,2,Shadow-Cursed Lands,Last Light Inn,-,Trade Mattis,"Armor Class Bonus, Acrobatics"
Cloak of Cunning Brume,Cloak,Clothing,Uncommon,2,Shadow-Cursed Lands,Last Light Inn,-,Trade Mattis,"Disengage, Obscured"
Cloak of Protection,Cloak,Clothing,Uncommon,2,Shadow-Cursed Lands,Last Light Inn,-,Trade Quartermaster Talli,"Generally Good, Armor Class Bonus, Save Bonus"
Thermoarcanic Gloves,Gloves,Clothing,Uncommon,2,Shadow-Cursed Lands,Last Light Inn,-,Trade Harper Kansif,"Heat, Fire"
Cindersnap Gloves,Gloves,Clothing,Rare,2,Shadow-Cursed Lands,Last Light Inn,-,Trade Quartermaster Talli,"Damage Reduction, Attack Roll Penalty"
Flawed Helldusk Gloves,Gloves,Clothing,Rare,2,Shadow-Cursed Lands,Last Light Inn,-,Trade an Infernal Iron to Dammon,"Melee Weapons, Unarmed Attacks, Save Bonus, Fire, Necrotic, Bleeding"
Gloves of the Automaton,Gloves,Clothing,Rare,2,Shadow-Cursed Lands,Last Light Inn,-,Trade Barcus Wroot,"Attack Roll Bonus, Critical Hits, Damage Reduction"
Gloves of the Balanced Hands,Gloves,Clothing,Rare,2,Shadow-Cursed Lands,Last Light Inn,-,Trade Quartermaster Talli,"Damage Bonus, Melee Weapons, Ranged Weapons, Thrown Weapons"
Swordmaster Gloves,Gloves,Clothing,Rare,2,Shadow-Cursed Lands,Last Light Inn,-,Trade Dammon,Melee Weapons
Hat of Uninhibited Kushigo,Head,Clothing,Rare,2,Shadow-Cursed Lands,Last Light Inn,-,Trade Quartermaster Talli,"Unarmed Attacks, Spell DC"
Covert Cowl,Head,Light,Uncommon,2,Shadow-Cursed Lands,Last Light Inn,-,Loot a Meenlock,"Critical Hits, Obscured"
Flawed Helldusk Helmet,Head,Medium,Rare,2,Shadow-Cursed Lands,Last Light Inn,-,Trade an Infernal Iron to Dammon,Save Bonus
Sylvan Scimitar,Melee,Martial,Uncommon,2,Shadow-Cursed Lands,Last Light Inn,-,Recruit or loot Jaheira,"Attack Roll Bonus, Spell Attacks, Scimitar"
Charge-Bound Warhammer,Melee,Martial,Rare,2,Shadow-Cursed Lands,Last Light Inn,-,Trade Dammon,"Lightning, Fighter, Warlock, Bound Weapon, Pact Weapon, Warhammer"
Defender Greataxe,Melee,Martial,Rare,2,Shadow-Cursed Lands,Last Light Inn,-,Trade Quartermaster Talli,"Armor Class Bonus, Save Bonus, Greataxe"
Harmonium Halberd,Melee,Martial,Rare,2,Shadow-Cursed Lands,Last Light Inn,-,Trade Dammon,"STR Increase, STR Check Bonus, Athletics, Halberd"
Sword of Clutching Umbra,Melee,Martial,Rare,2,Shadow-Cursed Lands,Last Light Inn,-,Trade Dammon,"Hidden, Psychic, Shortsword"
Thermodynamo Axe,Melee,Martial,Rare,2,Shadow-Cursed Lands,Last Light Inn,-,Trade Dammon,"Heat, Fire, Masochism"
Thorn Blade,Melee,Martial,Rare,2,Shadow-Cursed Lands,Last Light Inn,-,Trade Dammon,"Damage Bonus, Poison, Restrained, Conjuration, Concentration, Scimitar"
Sword of Life Stealing,Melee,Martial,Very Rare,2,Shadow-Cursed Lands,Last Light Inn,-,Trade Dammon,"Critical Hits, Temporary Hit Points, Necrotic, Damage Rider Source, Shortsword"
Incandescent Staff,Melee,Simple,Very Rare,2,Shadow-Cursed Lands,Last Light Inn,-,Trade Quartermaster Talli,"Spell Attacks, Damage Reduction, Fire, Evocation, Quarterstaff"
Amulet of the Harpers,Neck,,Rare,2,Shadow-Cursed Lands,Last Light Inn,-,Trade Quartermaster Talli,"Armor Class Bonus, Save Bonus, Abjuration"
Darkfire Shortbow,Ranged,Simple,Rare,2,Shadow-Cursed Lands,Last Light Inn,-,Trade Dammon,"Damage Reduction, Hasted, Transmutation, Shortbow"
Coruscation Ring,Ring,,Uncommon,2,Shadow-Cursed Lands,Last Light Inn,-,Find the item (X: 47 Y: -738),"Spell Attacks, Spell DC, Radiating Orb"
Ring of Geniality,Ring,,Uncommon,2,Shadow-Cursed Lands,Last Light Inn,-,Trade Barcus Wroot,"Deception, Persuasion"
Snowburst Ring,Ring,,Uncommon,2,Shadow-Cursed Lands,Last Light Inn,-,"Find the item (X: -80, Y: 158)","Cold, Prone, Speed Reduction"
Shifting Corpus Ring,Ring,,Rare,2,Shadow-Cursed Lands,Last Light Inn,-,Loot Flaming Fist Marcus,"Armor Class Bonus, Hidden, Illusion"
Shield of Scorching Reprisal,Shield,,Rare,2,Shadow-Cursed Lands,Last Light Inn,-,Find the item (X: -3 Y: 215),"Damage Reduction, Fire, Prone, Retaliation"
Shield of Devotion,Shield,,Very Rare,2,Shadow-Cursed Lands,Last Light Inn,-,Trade Quartermaster Talli,"Temporary Hit Points, Prone, Abjuration, Spell Slot, Retaliation"
Obsidian Laced Robe,Torso,Clothing,Rare,2,Shadow-Cursed Lands,Last Light Inn,-,Trade Quartermaster Talli,"Damage Reduction, Fire, Retaliation"
The Mighty Cloth,Torso,Clothing,Rare,2,Shadow-Cursed Lands,Last Light Inn,-,Trade Quartermaster Talli,"STR Increase, STR Check Bonus, Save Bonus, Immovable"
Moon Devotion Robe,Torso,Clothing,Very Rare,2,Shadow-Cursed Lands,Last Light Inn,-,Looted from Isobel,"Armor Class Bonus, Save Bonus, Fire, Abjuration, Conjuration, Retaliation"
Potent Robe,Torso,Clothing,Very Rare,2,Shadow-Cursed Lands,Last Light Inn,-,Rescue the Tieflings,"Spell Damage, Armor Class Bonus, Temporary Hit Points"
Flawed Helldusk Armour,Torso,Heavy,Rare,2,Shadow-Cursed Lands,Last Light Inn,-,Trade an Infernal Iron to Dammon,"Fire, Retaliation"
Rippling Force Mail,Torso,Heavy,Rare,2,Shadow-Cursed Lands,Last Light Inn,-,Find the item (X: -20 Y: 179),"Force Conduit, Force, Retaliation"
Penumbral Armour,Torso,Light,Rare,2,Shadow-Cursed Lands,Last Light Inn,-,"Find the item (X:33, Y:145)","Obscured, Stealth"
Shadeclinger Armour,Torso,Light,Rare,2,Shadow-Cursed Lands,Last Light Inn,-,Trade Quartermaster Talli,"Save Bonus, Obscured, Stealth"
Barkskin Armour,Torso,Medium,Rare,2,Shadow-Cursed Lands,Last Light Inn,-,Trade Quartermaster Talli,Armor Class Bonus
Yuan-Ti Scale Mail,Torso,Medium,Rare,2,Shadow-Cursed Lands,Last Light Inn,-,Trade Quartermaster Talli,"Initiative, Armor Class Bonus"
Boots of Arcane Bolstering,Boots,Clothing,Rare,2,Shadow-Cursed Lands,Moonrise Towers,-,Trade Araj Oblodra,"Spell Damage, Movement Speed"
Cloak of Elemental Absorption,Cloak,Clothing,Uncommon,2,Shadow-Cursed Lands,Moonrise Towers,-,Find the item (X: -170 Y: -171),"Damage Bonus, Damage Reduction, Acid, Cold, Fire, Lightning, Thunder"
Thunderskin Cloak,Cloak,Clothing,Uncommon,2,Shadow-Cursed Lands,Moonrise Towers,-,Trade Araj Oblodra,"Armour Class Penalty, Save Penalty, Reverbration, Retaliation"
Derivation Cloak,Cloak,Clothing,Rare,2,Shadow-Cursed Lands,Moonrise Towers,-,Find the item (X: -132 Y: -175),"Regeneration, Poisoned"
Gloves of Crushing,Gloves,Clothing,Rare,2,Shadow-Cursed Lands,Moonrise Towers,-,Trade Roah Moonglow (Zhentarim),"Attack Roll Bonus, Damage Bonus, Unarmed Attacks"
Gloves of The Duellist,Gloves,Clothing,Rare,2,Shadow-Cursed Lands,Moonrise Towers,-,Trade Lann Tarv,"Attack Roll Bonus, Melee Weapons"
Gauntlets of Surging Accuracy,Gloves,Medium,Rare,2,Shadow-Cursed Lands,Moonrise Towers,-,Convince Disciple Z'rell and Trade Lann Tarv,"Attack Roll Bonus, Fighter"
Browbeaten Circlet,Head,Clothing,Uncommon,2,Shadow-Cursed Lands,Moonrise Towers,-,Find the item (X: 572 Y: -652),Spell DC
Coldbrim Hat,Head,Clothing,Uncommon,2,Shadow-Cursed Lands,Moonrise Towers,-,Find the item (Hidden room),"Spell DC, Save Penalty, Cold, Incapacitated"
Hat of Storm Scion's Power,Head,Clothing,Uncommon,2,Shadow-Cursed Lands,Moonrise Towers,-,Trade Araj Oblodra,"Spell Attacks, Spell DC, Arcane Acuity, Thunder"
Marksmanship Hat,Head,Clothing,Uncommon,2,Shadow-Cursed Lands,Moonrise Towers,-,Trade Roah Moonglow (Zhentarim),"Ranged Weapons, Thrown Weapons"
Fistbreaker Helm,Head,Clothing,Rare,2,Shadow-Cursed Lands,Moonrise Towers,-,Trade Lann Tarv,"Initiative, Spell DC"
Circlet of Hunting,Head,Clothing,Very Rare,2,Shadow-Cursed Lands,Moonrise Towers,-,Trade Araj Oblodra,Damage Bonus
Myrkulite Scourge,Melee,Martial,Uncommon,2,Shadow-Cursed Lands,Moonrise Towers,-,Loot Myrkulite Cultists,"Necrotic, Flail"
Render of Mind and Body,Melee,Martial,Uncommon,2,Shadow-Cursed Lands,Moonrise Towers,-,Convice Disciple Z'rell and Trade Lann Tarv,"Psychic, Damage Rider Source, Shortsword"
Drakethroat Glaive,Melee,Martial,Rare,2,Shadow-Cursed Lands,Moonrise Towers,-,Trade Roah Moonglow (Zhentarim),"Generally Good, Acid, Cold, Fire, Lightning, Thunder, Dragonborn, Transmutation, Glaive"
Ketheric's Warhammer,Melee,Martial,Rare,2,Shadow-Cursed Lands,Moonrise Towers,-,Loot Ketheric Thorm,"Psychic, Warhammer"
Slicing Shortsword,Melee,Martial,Rare,2,Shadow-Cursed Lands,Moonrise Towers,-,Trade Lann Tarv,"Attack Roll Bonus, Bleeding, Shortsword"
Halberd of Vigilance,Melee,Martial,Very Rare,2,Shadow-Cursed Lands,Moonrise Towers,-,Trade Lann Tarv,"Generally Good, Initiative, Force, Perception, Retaliation, Halberd"
Argument Solver,Melee,Simple,Uncommon,2,Shadow-Cursed Lands,Moonrise Towers,-,Loot Mig,"Poison, Poisoned, Greatclub"
Bigboy's Chew Toy,Melee,Simple,Rare,2,Shadow-Cursed Lands,Moonrise Towers,-,Trade Lann Tarv,"Transmutation, Quarterstaff"
Shadow Lantern,Melee,Simple,Rare,2,Shadow-Cursed Lands,Moonrise Towers,-,Open Balthazar's hidden room and complete the ritual with Gale in the party,"Necromancy, Summon, Club"
Spineshudder Amulet,Neck,,Uncommon,2,Shadow-Cursed Lands,Moonrise Towers,-,Loot Mimic,"Spell Attacks, Save Penalty, Thunder, Reverbration"
Spellcrux Amulet,Neck,,Very Rare,2,Shadow-Cursed Lands,Moonrise Towers,-,Loot The Warden,"Generally Good, Spell Slot"
Bardic Inspiration (Enhanced),Other,,,2,Shadow-Cursed Lands,Moonrise Towers,-,"At the end of Act 2, play alongside Alfira",Bard
Potion of Everlasting Vigour,Other,,,2,Shadow-Cursed Lands,Moonrise Towers,-,Convince Astarion to bite Araj Oboldra,"Generally Good, STR Increase, STR Check Bonus, Athletics"
Ne'er Misser,Ranged,Martial,Rare,2,Shadow-Cursed Lands,Moonrise Towers,-,Trade Roah Moonglow (Zhentarim),"Force, Evocation, Hand Crossbow"
Poisoner's Ring,Ring,,Uncommon,2,Shadow-Cursed Lands,Moonrise Towers,-,Trade Roah Moonglow (Zhentarim),"Damage Vulnerability, Poison"
Ring of Spiteful Thunder,Ring,,Uncommon,2,Shadow-Cursed Lands,Moonrise Towers,-,Trade Roah Moonglow (Zhentarim),"Armour Class Penalty, Save Penalty, Thunder, Reverbration"
Ring of Free Action,Ring,,Rare,2,Shadow-Cursed Lands,Moonrise Towers,-,Trade Araj Oblodra,"Generally Good, Condition Immunity"
Risky Ring,Ring,,Rare,2,Shadow-Cursed Lands,Moonrise Towers,-,Trade Araj Oblodra,"Generally Good, Attack Roll Bonus, Save Penalty"
Absolute's Protector,Shield,,Rare,2,Shadow-Cursed Lands,Moonrise Towers,-,Loot Z'rell,"Damage Reduction, Fire, Prone, Evocation, Absolute's Brand, Retaliation"
Ketheric's Shield,Shield,,Rare,2,Shadow-Cursed Lands,Moonrise Towers,-,Loot Ketheric Thorm,"Spell Attacks, Spell DC, Save Bonus, Prone, Retaliation"
Sentinel Shield,Shield,,Rare,2,Shadow-Cursed Lands,Moonrise Towers,-,Trade Lann Tarv,"Generally Good, Initiative, Prone, Perception, Retaliation"
Enraging Heart Garb,Torso,Clothing,Rare,2,Shadow-Cursed Lands,Moonrise Towers,-,Trade Lann Tarv,"CON Increase, Melee Weapons, Wrath, Barbarian"
Robe of Exquisite Focus,Torso,Clothing,Rare,2,Shadow-Cursed Lands,Moonrise Towers,-,Trade Araj Oblodra,Spell DC
Armour of Devotion,Torso,Heavy,Rare,2,Shadow-Cursed Lands,Moonrise Towers,-,Trade Roah Moonglow (Zhentarim),Paladin
Dwarven Splintmail,Torso,Heavy,Rare,2,Shadow-Cursed Lands,Moonrise Towers,-,Convice Disciple Z'rell and Trade Lann Tarv,"Generally Good, CON Increase, STR Check Bonus, Max Hit Points, Athletics"
Reaper's Embrace,Torso,Heavy,Very Rare,2,Shadow-Cursed Lands,Moonrise Towers,-,Loot Ketheric Thorm,"Attack Roll Bonus, Critical Hits, Damage Reduction, Immovable, Speed Reduction"
Sharpened Snare Cuirass,Torso,Medium,Very Rare,2,Shadow-Cursed Lands,Moonrise Towers,-,Trade Roah Moonglow (Zhentarim),"Spell DC, Save Penalty, Restrained"
Braindrain Gloves,Gloves,Clothing,Uncommon,2,Shadow-Cursed Lands,Moonrise Towers,Mind Flayer Colony,Find the item (X: 748 Y: -141),"Save Penalty, Psychic"
Circlet of Mental Anguish,Head,Clothing,Rare,2,Shadow-Cursed Lands,Moonrise Towers,Mind Flayer Colony,Find the item (X: 748 Y: -141),Healing
Infernal Rapier,Melee,Simple,Very Rare,2,Shadow-Cursed Lands,Moonrise Towers,Mind Flayer Colony,Free Zariel's Asset with Wyll in the party,"Attack Roll Bonus, Spell DC, Summon, Rapier"
Githzerai Mind Barrier,Other,,,2,Shadow-Cursed Lands,Moonrise Towers,Mind Flayer Colony,Solve the brain connect puzzle (X: 750 Y:-139),Save Bonus
Summon Us,Other,,,2,Shadow-Cursed Lands,Moonrise Towers,Mind Flayer Colony,"Save Us on the Nautiloid, then free them",Summon
Ring of Exalted Marrow,Ring,,Rare,2,Shadow-Cursed Lands,Moonrise Towers,Moonrise Towers Rooftop,Find the item (X: -153 Y: -170),"Critical Hits, Incapacitated, Uncontrolled, Enchantment, Necromancy"
Gloves of Battlemage's Power,Gloves,Clothing,Rare,2,Shadow-Cursed Lands,Reithwin Town,-,Find the item (X: -84 Y: -88),"Improvised Weapons, Melee Weapons, Ranged Weapons, Thrown Weapons, Arcane Acuity"
Hr'a'cknir Bracers,Gloves,Clothing,Very Rare,2,Shadow-Cursed Lands,Reithwin Town,-,Defeat the ambush on the way to Baldur's Gate,"Save Bonus, Conjuration, Transmutation"
Twist of Fortune,Melee,Martial,Rare,2,Shadow-Cursed Lands,Reithwin Town,-,Loot Gerringothe Thorm,"Damage Bonus, Morningstar"
Shadow Blade Ring,Ring,Simple,Uncommon,2,Shadow-Cursed Lands,Reithwin Town,-,"Save Arabella and Protect the Emerald Grove (Act 1), then locate Arabella's parents (Act 2)","Melee Weapons, Obscured, Psychic, Illusion"
Psionic Ward Armour,Torso,Medium,Rare,2,Shadow-Cursed Lands,Reithwin Town,-,Defeat the ambush on the way to Baldur's Gate,"Healing, Regeneration, Githyanki"
Fleshmelter Cloak,Cloak,Clothing,Uncommon,2,Shadow-Cursed Lands,Reithwin Town,House of Healing,"Find the item (X:-150, Y:105)","Acid, Retaliation"
Poisoner's Gloves,Gloves,Clothing,Rare,2,Shadow-Cursed Lands,Reithwin Town,House of Healing,Find the item (X: -199 Y: 78),"Poison, Poisoned"
Shar's Temptation,Neck,,Uncommon,2,Shadow-Cursed Lands,Reithwin Town,House of Healing,Find the item (X: -193 Y: 9),Enchantment
Surgeon's Subjugation Amulet,Neck,,Rare,2,Shadow-Cursed Lands,Reithwin Town,House of Healing,Loot Malus Thorm,"Critical Hits, Incapacitated, Restrained"
Eversight Ring,Ring,,Uncommon,2,Shadow-Cursed Lands,Reithwin Town,House of Healing,Find the item (X: 9 Y: -981),Condition Immunity
